row_id,severity,reason_code,detector,message,evidence,recommended_action,anomaly_score,country,region,category,time_period,total
3223,critical,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,disbursement_commitment_ratio=16.000; relative_change=15.000; year_over_year_change=15.000,"Review component mix, period changes, and supporting source records.",0.9999999999974268,Grenada,LATIN AMERICA AND CARIBBEAN,Gross Disbursements,FY19,32.0
2069,critical,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,relative_change=73.286; year_over_year_change=73.286; log1p_total=6.256,"Review component mix, period changes, and supporting source records.",0.9765329914448402,Somalia,AFRICA EAST,Gross Disbursements,FY20,520.0
2151,critical,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,relative_change=94.407; year_over_year_change=94.407; log1p_total=7.854,"Review component mix, period changes, and supporting source records.",0.966449145379616,Nigeria,AFRICA WEST,Commitments,FY20,2576.0
815,critical,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,relative_change=31.000; year_over_year_change=31.000; log1p_total=6.463,"Review component mix, period changes, and supporting source records.",0.9428591795520663,Nepal,SOUTH ASIA,Commitments,FY17,640.0
569,critical,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,relative_change=31.333; year_over_year_change=31.333; log1p_total=4.585,"Review component mix, period changes, and supporting source records.",0.9180935267755901,Eastern and Southern Africa,EASTERN AND SOUTHERN AFRICA,Commitments,FY22,97.0
149,critical,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,disbursement_commitment_ratio=94.737; quarter=3.000; development_policy_share=1.000,"Review component mix, period changes, and supporting source records.",0.907548688204308,Guinea-Bissau,WESTERN AND CENTRAL AFRICA,Commitments,2026-Q3,0.19
1259,critical,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,year_over_year_change=12.534; relative_change=10.233; log1p_total=3.547,"Review component mix, period changes, and supporting source records.",0.8726147634489025,Bhutan,SOUTH ASIA,Gross Disbursements,2026-Q3,33.7
2220,critical,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,relative_change=44.500; year_over_year_change=44.500; log1p_total=4.522,"Review component mix, period changes, and supporting source records.",0.862114794454209,Grenada,LATIN AMERICA AND CARIBBEAN,Commitments,FY20,91.0
1596,critical,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,relative_change=31.000; log1p_total=4.174; quarter=4.000,"Review component mix, period changes, and supporting source records.",0.8614260014904171,MIGA,OTHER,Commitments,FY25,64.0
555,critical,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,relative_change=34.400; year_over_year_change=34.400; log1p_total=5.182,"Review component mix, period changes, and supporting source records.",0.8512199549359701,Solomon Islands,EAST ASIA AND PACIFIC,Commitments,FY22,177.0
2864,critical,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,relative_change=36.846; year_over_year_change=36.846; log1p_total=6.893,"Review component mix, period changes, and supporting source records.",0.8421239746907766,Ukraine,EUROPE AND CENTRAL ASIA,Gross Disbursements,FY23,984.0
1293,critical,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,relative_change=13.286; log1p_total=4.615; quarter=3.000,"Review component mix, period changes, and supporting source records.",0.8380556774865908,Fiji,EAST ASIA AND PACIFIC,Gross Disbursements,2025-Q3,100.0
183,critical,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,year_over_year_change=28.500; log1p_total=4.094; quarter=3.000,"Review component mix, period changes, and supporting source records.",0.8348766912987363,MIGA,OTHER,Commitments,2026-Q3,59.0
337,critical,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,disbursement_commitment_ratio=14.000; quarter=3.000; relative_change=-1.004,"Review component mix, period changes, and supporting source records.",0.8243056284058732,"Congo, Republic of",WESTERN AND CENTRAL AFRICA,Commitments,2025-Q3,-1.0
1817,critical,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,relative_change=13.000; year_over_year_change=13.000; log1p_total=4.043,"Review component mix, period changes, and supporting source records.",0.8111092998907227,Bhutan,SOUTH ASIA,Gross Disbursements,FY24,56.0
